,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground,residential_complex,underground_counts,adress
1365,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/299980750/,Москва,rent,flat,3,5,2,45.0,90000,0,Фили-Давыдково,Большая Филевская ,41К5,Филёвский парк,,6,"Москва, Большая Филевская , 41К5"
1366,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301499044/,Москва,rent,flat,3,16,2,48.0,55000,0,Люблино,Люблинская ,78к2,Перерва,,13,"Москва, Люблинская , 78к2"
1367,Диана Мухамедова,realtor,https://www.cian.ru/rent/flat/301657525/,Москва,rent,flat,11,20,2,65.0,120000,0,Головинский,Головинское шоссе,11,Водный стадион,,21,"Москва, Головинское шоссе, 11"
1368,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301397352/,Москва,rent,flat,3,5,2,45.0,90000,0,Фили-Давыдково,Большая Филевская ,41К5,Филёвский парк,,6,"Москва, Большая Филевская , 41К5"
1369,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301451267/,Москва,rent,flat,9,9,2,41.9,90000,0,Тверской, Бутырский Вал,30,Белорусская,,12,"Москва,  Бутырский Вал, 30"
1370,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787677/,Москва,rent,flat,19,28,2,59.0,159300,0,Филевский парк, Василисы Кожиной,13,Парк Победы,,8,"Москва,  Василисы Кожиной, 13"
1371,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/293041539/,Москва,rent,flat,7,16,2,200.0,450000,0,Арбат, Новый Арбат,27,Смоленская,,2,"Москва,  Новый Арбат, 27"
1372,Кирилл Акелькин,realtor,https://www.cian.ru/rent/flat/301593762/,Москва,rent,flat,6,9,2,44.3,40000,0,Марьино,Батайский проезд,9,Курьяново,,10,"Москва, Батайский проезд, 9"
1373,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/291963506/,Москва,rent,flat,1,7,2,69.0,400000,0,Пресненский,Гранатный переулок,6,Баррикадная,,2,"Москва, Гранатный переулок, 6"
1374,DOORS AGENCY,real_estate_agent,https://www.cian.ru/rent/flat/301617249/,Москва,rent,flat,19,22,2,75.0,159000,0,Раменки,Минская ,1ГК1,Ломоносовский проспект,,11,"Москва, Минская , 1ГК1"
1375,Столичный Проспект,real_estate_agent,https://www.cian.ru/rent/flat/301594677/,Москва,rent,flat,2,9,2,40.0,35000,0,Бирюлево Западное,Булатниковская ,5К3,Битца,,4,"Москва, Булатниковская , 5К3"
1376,SC Realty,real_estate_agent,https://www.cian.ru/rent/flat/301432548/,Москва,rent,flat,19,22,2,75.0,159000,0,Раменки,Минская ,1ГК1,Ломоносовский проспект,,11,"Москва, Минская , 1ГК1"
1377,SC Realty,real_estate_agent,https://www.cian.ru/rent/flat/301433995/,Москва,rent,flat,18,22,2,70.0,149000,0,Раменки,Минская ,1ГК1,Ломоносовский проспект,,11,"Москва, Минская , 1ГК1"
1378,Елена Паншина,realtor,https://www.cian.ru/rent/flat/181181555/,Москва,rent,flat,6,16,2,54.0,35000,0,Чертаново Южное, Академика Янгеля,14К7,Новоясеневская,,4,"Москва,  Академика Янгеля, 14К7"
1379,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/301172063/,Москва,rent,flat,2,8,2,120.0,330000,0,Якиманка,2-й Казачий переулок,4С1,Полянка,,1,"Москва, 2-й Казачий переулок, 4С1"
1380,HYDE Residences,real_estate_agent,https://www.cian.ru/rent/flat/300717248/,Москва,rent,flat,54,78,2,75.0,220000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с2"
1381,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/301592590/,Москва,rent,flat,19,20,2,50.2,120000,0,Филевский парк,Большая Филевская ,3к3,Фили,,4,"Москва, Большая Филевская , 3к3"
1382,CITYZEN,real_estate_agent,https://www.cian.ru/rent/flat/301593971/,Москва,rent,flat,31,68,2,79.4,250000,0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с1"
1383,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301787671/,Москва,rent,flat,13,13,2,62.0,157900,0,Филевский парк, Василисы Кожиной,13,Парк Победы,,8,"Москва,  Василисы Кожиной, 13"
1384,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/301636164/,Москва,rent,flat,5,33,2,38.0,70000,0,Нижегородский,Перовское шоссе,2к2,Нижегородская,,35,"Москва, Перовское шоссе, 2к2"
1385,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300941047/,Москва,rent,flat,5,23,2,50.9,99500,0,Текстильщики,1-й Грайвороновский проезд,13к1,Текстильщики,,28,"Москва, 1-й Грайвороновский проезд, 13к1"
1386,ID 18835544,official_representative,https://www.cian.ru/rent/flat/285274355/,Москва,rent,flat,5,12,2,171.0,1800000,0,Тверской, Охотный Ряд,2,Охотный ряд,,3,"Москва,  Охотный Ряд, 2"
1387,ID 79626300,homeowner,https://www.cian.ru/rent/flat/301436309/,Москва,rent,flat,9,10,2,57.0,50000,0,, Усадебный Парк,1,Филатов Луг,,80,"Москва,  Усадебный Парк, 1"
1388,ID 18835544,official_representative,https://www.cian.ru/rent/flat/273526190/,Москва,rent,flat,7,12,2,112.0,1400000,0,Тверской, Охотный Ряд,2,Охотный ряд,,3,"Москва,  Охотный Ряд, 2"
1389,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/299744104/,Москва,rent,flat,2,6,2,69.0,210000,0,Басманный,Мясницкая ,24/7С3,Тургеневская,,1,"Москва, Мясницкая , 24/7С3"
1390,ID 15998459,homeowner,https://www.cian.ru/rent/flat/271735145/,Москва,rent,flat,6,25,2,45.0,59900,0,Ховрино,Левобережная ,4к11,Беломорская,,9,"Москва, Левобережная , 4к11"
1391,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/301642412/,Москва,rent,flat,5,33,2,38.0,75000,0,Нижегородский,Перовское шоссе,2к2,Нижегородская,,35,"Москва, Перовское шоссе, 2к2"
1392,Liberty Estate,real_estate_agent,https://www.cian.ru/rent/flat/300083208/,Москва,rent,flat,9,11,2,50.0,230000,0,Дорогомилово,Кутузовский проспект,12,Киевская,,6,"Москва, Кутузовский проспект, 12"
1393,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/301458445/,Москва,rent,flat,2,5,2,47.0,45000,0,Кунцево,Оршанская ,8К1,Молодёжная,,14,"Москва, Оршанская , 8К1"
1394,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/rent/flat/300300963/,Москва,rent,flat,47,79,2,78.0,350000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с2"
1395,Liberty Estate,real_estate_agent,https://www.cian.ru/rent/flat/301006947/,Москва,rent,flat,16,29,2,70.0,250000,0,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,,11,"Москва, Мосфильмовская , 74Б"
1396,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/301569009/,Москва,rent,flat,27,32,2,36.0,80000,0,Хорошево-Мневники,Причальный проезд,10к1,Шелепиха,,17,"Москва, Причальный проезд, 10к1"
1397,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300023188/,Москва,rent,flat,3,8,2,76.0,540000,0,Хамовники,переулок Хилков,1,Парк Культуры,,2,"Москва, переулок Хилков, 1"
1398,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301729149/,Москва,rent,flat,13,15,2,58.9,125000,0,Басманный, Новая Дорога,9,Электрозаводская,,12,"Москва,  Новая Дорога, 9"
1399,MY HOME,real_estate_agent,https://www.cian.ru/rent/flat/301620866/,Москва,rent,flat,9,12,2,60.0,93000,0,Сокол,Песчаная ,8,Сокол,,10,"Москва, Песчаная , 8"
1400,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/301264083/,Москва,rent,flat,8,16,2,58.1,150000,0,Хамовники,Фрунзенская набережная,50,Спортивная,,2,"Москва, Фрунзенская набережная, 50"
1401,Neva Towers,official_representative,https://www.cian.ru/rent/flat/299233265/,Москва,rent,flat,66,78,2,80.0,610000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,,25,"Москва, 1-й Красногвардейский проезд, 22с2"
1402,ID 22116443,homeowner,https://www.cian.ru/rent/flat/301566065/,Москва,rent,flat,14,22,2,47.2,70000,0,, Большое Понизовье,3,Филатов Луг,,80,"Москва,  Большое Понизовье, 3"
1403,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300328533/,Москва,rent,flat,16,29,2,70.0,270000,0,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,,11,"Москва, Мосфильмовская , 74Б"
